icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
48548c,KLM26X  ,Kingdom of the Netherlands,1764668078,1764668078,8.0971,55.0909,9753.6,False,187.68,204.11,-0.33,,9654.54,0751,False,0,2025-12-02 09:34:39+00:00
48548d,KLM52R  ,Kingdom of the Netherlands,1764668078,1764668078,10.0732,56.0144,10972.8,False,193.35,216.02,-0.33,,10873.74,7675,False,0,2025-12-02 09:34:39+00:00
484165,KLM97L  ,Kingdom of the Netherlands,1764668078,1764668078,6.6916,47.8526,9433.56,False,209.29,176.34,-3.9,,9479.28,1000,False,0,2025-12-02 09:34:39+00:00
40798d,GCLNC   ,United Kingdom,1764668077,1764668078,0.1751,52.1867,388.62,False,45.94,124.05,0.98,,335.28,7010,False,0,2025-12-02 09:34:39+00:00
461faa,FIN8DA  ,Finland,1764667816,1764667829,-4.4519,36.6411,190.5,False,71.43,311.5,-3.58,,289.56,2223,False,0,2025-12-02 09:34:39+00:00
48415f,KLM1775 ,Kingdom of the Netherlands,1764668078,1764668078,6.2889,52.4015,7360.92,False,246.72,85.34,9.1,,7353.3,1000,False,0,2025-12-02 09:34:39+00:00
a895eb,UAL12   ,United States,1764668078,1764668078,8.5483,47.4619,,True,8.23,334.69,,,,3020,False,0,2025-12-02 09:34:39+00:00
4bcda6,SXS25P  ,Turkey,1764668078,1764668078,23.1483,41.0973,10972.8,False,221.75,310.86,0.0,,11033.76,5346,False,0,2025-12-02 09:34:39+00:00
4bcda5,SXS39W  ,Turkey,1764668078,1764668078,21.1395,43.5609,10972.8,False,222.89,327.15,0.0,,10972.8,1734,False,0,2025-12-02 09:34:39+00:00
4bcda4,SXS56Q  ,Turkey,1764668078,1764668078,22.5526,41.8198,10972.8,False,227.37,334.83,0.0,,11026.14,5320,False,0,2025-12-02 09:34:39+00:00
4bcda2,SXS94W  ,Turkey,1764668078,1764668078,8.7508,47.5909,11582.4,False,224.63,260.77,0.0,,11597.64,1000,False,0,2025-12-02 09:34:39+00:00
4bcdb0,SXS6JT  ,Turkey,1764668078,1764668078,24.1962,39.959,10972.8,False,220.06,321.55,0.0,,11056.62,3256,False,0,2025-12-02 09:34:39+00:00
484160,KLM93W  ,Kingdom of the Netherlands,1764668078,1764668078,7.716,50.2234,12496.8,False,219.06,150.61,0.33,,12420.6,1000,False,0,2025-12-02 09:34:39+00:00
484164,KLM26E  ,Kingdom of the Netherlands,1764667965,1764667965,4.7414,52.3041,,True,13.38,135.0,,,,1000,False,0,2025-12-02 09:34:39+00:00
4bcdaa,SXS24K  ,Turkey,1764668078,1764668078,24.884,39.7823,10363.2,False,224.73,326.67,0.0,,10469.88,5361,False,0,2025-12-02 09:34:39+00:00
3cc207,PWF1910 ,Germany,1764668078,1764668078,7.5352,52.157,6774.18,False,147.55,233.65,-6.83,,6758.94,1362,False,0,2025-12-02 09:34:39+00:00
4bcdb4,SXS43T  ,Turkey,1764668077,1764668077,24.6906,39.8948,10972.8,False,222.34,328.63,0.0,,11056.62,3211,False,0,2025-12-02 09:34:39+00:00
4bcdae,SXS8VW  ,Turkey,1764668078,1764668078,9.2272,48.6166,3169.92,False,156.15,86.6,16.26,,3192.78,7666,False,0,2025-12-02 09:34:39+00:00
4bcdac,SXS1    ,Turkey,1764668076,1764668078,21.3846,42.1589,10972.8,False,218.51,310.7,0.0,,11003.28,5350,False,0,2025-12-02 09:34:39+00:00
346499,IBE07WK ,Spain,1764668078,1764668078,-1.3413,50.9369,7147.56,False,190.05,207.4,4.23,,6972.3,2241,False,0,2025-12-02 09:34:39+00:00
484133,KLM1602 ,Kingdom of the Netherlands,1764668077,1764668077,11.8017,42.7362,8183.88,False,217.51,343.79,8.13,,8168.64,1000,False,0,2025-12-02 09:34:39+00:00
c0126b,HOTRD11 ,Canada,1764668078,1764668078,13.4171,42.6695,8161.02,False,214.11,322.91,5.2,,8183.88,1611,False,0,2025-12-02 09:34:39+00:00
346489,ITI117  ,Spain,1764668078,1764668078,5.2755,42.9835,5524.5,False,183.13,206.71,14.31,,5593.08,,False,0,2025-12-02 09:34:39+00:00
4a5df7,HYS257  ,Romania,1764668078,1764668078,8.6491,51.688,11582.4,False,230.04,292.21,0.0,,11551.92,3127,False,0,2025-12-02 09:34:39+00:00
896718,ABY730  ,United Arab Emirates,1764668077,1764668078,22.1821,48.2045,11582.4,False,228.96,312.91,0.0,,11498.58,2360,False,0,2025-12-02 09:34:39+00:00
a8dee0,UAL924  ,United States,1764668078,1764668078,-8.7895,50.3963,10668.0,False,247.45,86.3,0.33,,10279.38,,False,0,2025-12-02 09:34:39+00:00
4bcda1,SXS3LY  ,Turkey,1764668078,1764668078,20.8494,42.4963,11582.4,False,220.35,310.64,0.0,,11590.02,5334,False,0,2025-12-02 09:34:39+00:00
484131,KLM38Z  ,Kingdom of the Netherlands,1764668078,1764668078,11.6039,52.3366,10020.3,False,226.43,280.34,7.15,,10035.54,1000,False,0,2025-12-02 09:34:39+00:00
484130,KLM93R  ,Kingdom of the Netherlands,1764668078,1764668078,14.1758,49.991,11887.2,False,231.77,121.29,-0.33,,11849.1,1000,False,0,2025-12-02 09:34:39+00:00
45f468,PR53    ,Denmark,1764668076,1764668077,9.3636,56.1221,373.38,False,44.53,130.31,0.0,,358.14,6353,False,0,2025-12-02 09:34:39+00:00
458a76,OYBSV   ,Denmark,1764668077,1764668077,12.1912,55.6489,434.34,False,26.68,214.0,0.98,,441.96,7000,False,0,2025-12-02 09:34:39+00:00
40660e,TOM252  ,United Kingdom,1764668077,1764668077,-0.9712,53.3413,6934.2,False,229.28,102.57,5.2,,6697.98,7536,False,0,2025-12-02 09:34:39+00:00
40660c,TOM69C  ,United Kingdom,1764668078,1764668078,-6.5582,45.2874,11887.2,False,212.68,209.73,0.0,,11658.6,2032,False,0,2025-12-02 09:34:39+00:00
3e27ac,DIGFK   ,Germany,1764668078,1764668078,12.5441,51.058,1234.44,False,60.89,256.32,0.65,,1264.92,,False,0,2025-12-02 09:34:39+00:00
3c7dc5,UNI151  ,Germany,1764668078,1764668078,8.6834,44.4029,10058.4,False,254.71,178.73,0.0,,10111.74,2526,False,0,2025-12-02 09:34:39+00:00
345250,ANE1179 ,Spain,1764668077,1764668077,-3.5296,40.6007,1714.5,False,96.5,39.38,5.2,,1783.08,1000,False,0,2025-12-02 09:34:39+00:00
40792f,BAW53YR ,United Kingdom,1764668078,1764668078,7.8459,47.3139,11887.2,False,225.76,154.78,-0.33,,11894.82,0551,False,0,2025-12-02 09:34:39+00:00
40792e,BAW808  ,United Kingdom,1764668078,1764668078,5.0376,55.151,11277.6,False,255.51,77.56,0.33,,11071.86,2015,False,0,2025-12-02 09:34:39+00:00
4ca63a,EIN49W  ,Ireland,1764668078,1764668078,-8.3037,41.3672,10668.0,False,239.34,170.6,0.0,,10576.56,,False,0,2025-12-02 09:34:39+00:00
4ca646,RYR99AT ,Ireland,1764668078,1764668078,13.9365,42.2818,8252.46,False,211.13,245.68,-8.45,,8252.46,7352,False,0,2025-12-02 09:34:39+00:00
